SEF	1.0.0
ID	501
Name	Kisanga-Plateau
Lat	-11.7333
Lon	27.4167
Alt	1187.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	ta
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1972	10	1	15	0	0	33.3	
1972	10	2	15	0	0	31.7	
1972	10	3	15	0	0	32.7	
1972	10	4	15	0	0	34.7	
1972	10	5	15	0	0	32.6	
1972	10	6	15	0	0	28.9	
1972	10	7	15	0	0	31.3	
1972	10	8	15	0	0	33.2	
1972	10	9	15	0	0	30.3	
1972	10	10	15	0	0	31.0	
1972	10	11	15	0	0	32.1	
1972	10	12	15	0	0	32.0	
1972	10	13	15	0	0	28.3	
1972	10	14	15	0	0	30.7	
1972	10	15	15	0	0	31.3	
1972	10	16	15	0	0	NaN	
1972	10	17	15	0	0	29.3	
1972	10	18	15	0	0	30.8	
1972	10	19	15	0	0	NaN	
1972	10	20	15	0	0	33.5	
1972	10	21	15	0	0	33.6	
1972	10	22	15	0	0	26.0	
1972	10	23	15	0	0	19.0	
1972	10	24	15	0	0	30.3	
1972	10	25	15	0	0	24.6	
1972	10	26	15	0	0	28.7	
1972	10	27	15	0	0	30.0	
1972	10	28	15	0	0	29.8	
1972	10	29	15	0	0	26.4	
1972	10	30	15	0	0	28.9	
1972	10	31	15	0	0	29.2	
