SEF	1.0.0
ID	904
Name	Rwindi
Lat	-0.7833
Lon	29.2833
Alt	1040.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Ta
Stat	mean
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1972	8	1	0	0	0	23.0	
1972	8	2	0	0	0	23.0	
1972	8	3	0	0	0	23.2	
1972	8	4	0	0	0	24.1	
1972	8	5	0	0	0	23.9	
1972	8	6	0	0	0	22.6	
1972	8	7	0	0	0	23.1	
1972	8	8	0	0	0	21.6	
1972	8	9	0	0	0	23.3	
1972	8	10	0	0	0	23.6	
1972	8	11	0	0	0	24.1	
1972	8	12	0	0	0	23.7	
1972	8	13	0	0	0	24.4	
1972	8	14	0	0	0	22.3	
1972	8	15	0	0	0	23.0	
1972	8	16	0	0	0	NaN	
1972	8	17	0	0	0	23.0	
1972	8	18	0	0	0	22.3	
1972	8	19	0	0	0	22.7	
1972	8	20	0	0	0	22.1	
1972	8	21	0	0	0	21.9	
1972	8	22	0	0	0	21.9	
1972	8	23	0	0	0	23.1	
1972	8	24	0	0	0	20.9	
1972	8	25	0	0	0	23.2	
1972	8	26	0	0	0	22.6	
1972	8	27	0	0	0	22.3	
1972	8	28	0	0	0	21.9	
1972	8	29	0	0	0	22.3	
1972	8	30	0	0	0	22.7	
1972	8	31	0	0	0	25.0	
