SEF	1.0.0
ID	905
Name	Mutsora
Lat	0.3167
Lon	29.7333
Alt	1330.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1973	11	1	18	0	0	18.7	
1973	11	2	18	0	0	17.2	
1973	11	3	18	0	0	19.2	
1973	11	4	18	0	0	19.6	
1973	11	5	18	0	0	18.0	
1973	11	6	18	0	0	19.0	
1973	11	7	18	0	0	19.7	
1973	11	8	18	0	0	19.4	
1973	11	9	18	0	0	19.4	
1973	11	10	18	0	0	17.7	
1973	11	11	18	0	0	NaN	
1973	11	12	18	0	0	18.4	
1973	11	13	18	0	0	19.9	
1973	11	14	18	0	0	21.6	
1973	11	15	18	0	0	17.2	
1973	11	16	18	0	0	NaN	
1973	11	17	18	0	0	19.3	
1973	11	18	18	0	0	NaN	
1973	11	19	18	0	0	15.1	
1973	11	20	18	0	0	18.2	
1973	11	21	18	0	0	16.9	
1973	11	22	18	0	0	17.3	
1973	11	23	18	0	0	18.8	
1973	11	24	18	0	0	18.4	
1973	11	25	18	0	0	19.5	
1973	11	26	18	0	0	16.9	
1973	11	27	18	0	0	18.3	
1973	11	28	18	0	0	19.6	
1973	11	29	18	0	0	19.4	
1973	11	30	18	0	0	17.3	
