SEF	1.0.0
ID	209
Name	Loeka-Bumba
Lat	2.25
Lon	22.8167
Alt	430.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Ta
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription software: MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver)
Year	Month	Day	Hour	Minute	Period	Value	Meta
1968	10	1	0	0	0	24.2	
1968	10	2	0	0	0	21.5	
1968	10	3	0	0	0	25.6	
1968	10	4	0	0	0	25.0	
1968	10	5	0	0	0	26.2	
1968	10	6	0	0	0	24.3	
1968	10	7	0	0	0	23.9	
1968	10	8	0	0	0	25.5	
1968	10	9	0	0	0	26.1	
1968	10	10	0	0	0	24.9	
1968	10	11	0	0	0	NaN	
1968	10	12	0	0	0	25.4	
1968	10	13	0	0	0	23.5	
1968	10	14	0	0	0	24.6	
1968	10	15	0	0	0	NaN	
1968	10	16	0	0	0	25.7	
1968	10	17	0	0	0	24.7	
1968	10	18	0	0	0	23.8	
1968	10	19	0	0	0	25.0	
1968	10	20	0	0	0	24.9	
1968	10	21	0	0	0	28.9	
1968	10	22	0	0	0	26.7	
1968	10	23	0	0	0	25.3	
1968	10	24	0	0	0	22.6	
1968	10	25	0	0	0	24.3	
1968	10	26	0	0	0	25.6	
1968	10	27	0	0	0	22.1	
1968	10	28	0	0	0	24.5	
1968	10	29	0	0	0	24.9	
1968	10	30	0	0	0	25.3	
1968	10	31	0	0	0	21.4	
