SEF	1.0.0
ID	601
Name	Mulungu-Mulohe
Lat	-2.3
Lon	28.7833
Alt	1731.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Ta
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription software: MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver)
Year	Month	Day	Hour	Minute	Period	Value	Meta
1967	5	1	0	0	0	19.3	
1967	5	2	0	0	0	19.1	
1967	5	3	0	0	0	18.5	
1967	5	4	0	0	0	NaN	
1967	5	5	0	0	0	17.9	
1967	5	6	0	0	0	18.1	
1967	5	7	0	0	0	17.9	
1967	5	8	0	0	0	18.7	
1967	5	9	0	0	0	NaN	
1967	5	10	0	0	0	NaN	
1967	5	11	0	0	0	18.9	
1967	5	12	0	0	0	NaN	
1967	5	13	0	0	0	17.9	
1967	5	14	0	0	0	18.3	
1967	5	15	0	0	0	17.5	
1967	5	16	0	0	0	NaN	
1967	5	17	0	0	0	18.9	
1967	5	18	0	0	0	NaN	
1967	5	19	0	0	0	17.9	
1967	5	20	0	0	0	17.9	
1967	5	21	0	0	0	NaN	
1967	5	22	0	0	0	NaN	
1967	5	23	0	0	0	NaN	
1967	5	24	0	0	0	NaN	
1967	5	25	0	0	0	19.1	
1967	5	26	0	0	0	NaN	
1967	5	27	0	0	0	NaN	
1967	5	28	0	0	0	13.1	
1967	5	29	0	0	0	18.5	
1967	5	30	0	0	0	NaN	
1967	5	31	0	0	0	18.0	
