SEF	1.0.0
ID	508
Name	Kaniama-Kasese
Lat	nan
Lon	nan
Alt	nan
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	Tn
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription software: MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver)
Year	Month	Day	Hour	Minute	Period	Value	Meta
1988	2	1	0	0	0	16.9	
1988	2	2	0	0	0	NaN	
1988	2	3	0	0	0	NaN	
1988	2	4	0	0	0	19.9	
1988	2	5	0	0	0	18.4	
1988	2	6	0	0	0	18.5	
1988	2	7	0	0	0	18.4	
1988	2	8	0	0	0	NaN	
1988	2	9	0	0	0	18.5	
1988	2	10	0	0	0	18.6	
1988	2	11	0	0	0	NaN	
1988	2	12	0	0	0	17.5	
1988	2	13	0	0	0	NaN	
1988	2	14	0	0	0	NaN	
1988	2	15	0	0	0	NaN	
1988	2	16	0	0	0	NaN	
1988	2	17	0	0	0	19.2	
1988	2	18	0	0	0	17.5	
1988	2	19	0	0	0	15.9	
1988	2	20	0	0	0	18.4	
1988	2	21	0	0	0	NaN	
1988	2	22	0	0	0	NaN	
1988	2	23	0	0	0	19.5	
1988	2	24	0	0	0	NaN	
1988	2	25	0	0	0	NaN	
1988	2	26	0	0	0	NaN	
1988	2	27	0	0	0	18.3	
1988	2	28	0	0	0	NaN	
1988	2	29	0	0	0	NaN	
